Medicine Name, Quantity, Chemical Name, Compnay Name, Unit Price
Axim,125 mg/5 ml,Cefuroxime Axetil,Aristopharma Ltd.,70 ml bottle : ৳ 225.00
Axim,750 mg/10 ml,Cefuroxime Axetil,Aristopharma Ltd.,750 mg vial : ৳ 125.00
Axim,1.5 gm/20 ml,Cefuroxime Axetil,Aristopharma Ltd.,1.5 gm vial : ৳ 200.00
Axim CV,500 mg+125 mg,Cefuroxime Axetil + Clavulanic Acid,Aristopharma Ltd.,Unit Price : ৳ 50.00
Axim CV,250 mg+62.5 mg,Cefuroxime Axetil + Clavulanic Acid,Aristopharma Ltd.,Unit Price : ৳ 30.00
Axim CV,(125 mg+31.25 mg)/5 ml,Cefuroxime Axetil + Clavulanic Acid,Aristopharma Ltd.,70 ml bottle : ৳ 250.00
Axim DS,250 mg/5 ml,Cefuroxime Axetil,Aristopharma Ltd.,50 ml bottle : ৳ 225.00
Aximin,200 mg,Rifaximin,Acme Laboratories Limited,Unit Price : ৳ 20.07
Aximin,550 mg,Rifaximin,Acme Laboratories Limited,Unit Price : ৳ 45.13
Axinat,25 mcg/puff,Salmeterol Xinafoate,Acme Laboratories Limited,120 metered doses : ৳ 125.00
Axinat-F,(25 mcg+125 mcg)/puff,Salmeterol + Fluticasone Propionate,Acme Laboratories Limited,120 metered doses : ৳ 577.00
Axinat-F,(25 mcg+250 mcg)/puff,Salmeterol + Fluticasone Propionate,Acme Laboratories Limited,120 metered doses : ৳ 752.00
Axinix,5 mg,Axitinib,Beacon Pharmaceuticals Ltd.,Unit Price : ৳ 1,000.00
Axinix,1 mg,Axitinib,Beacon Pharmaceuticals Ltd.,Unit Price : ৳ 500.00
Axodin,60 mg,Fexofenadine Hydrochloride,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
Axodin,120 mg,Fexofenadine Hydrochloride,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
Axodin,180 mg,Fexofenadine Hydrochloride,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 9.00
Axodin,30 mg/5 ml,Fexofenadine Hydrochloride,Beximco Pharmaceuticals Ltd.,50 ml bottle : ৳ 55.00
Axofen,120 mg,Fexofenadine Hydrochloride,Aristopharma Ltd.,Unit Price : ৳ 8.00
Axofen,180 mg,Fexofenadine Hydrochloride,Aristopharma Ltd.,Unit Price : ৳ 10.00
Axofen,30 mg/5 ml,Fexofenadine Hydrochloride,Aristopharma Ltd.,50 ml bottle : ৳ 55.00
Axofyl,200 mg,Doxophylline,Orion Pharma Limited,Unit Price : ৳ 6.00
Axofyl,400 mg,Doxophylline,Orion Pharma Limited,Unit Price : ৳ 10.00
Axon,250 mg/2 ml,Ceftriaxone,Aristopharma Ltd.,250 mg vial : ৳ 100.00
Axon,500 mg/2 ml,Ceftriaxone,Aristopharma Ltd.,500 mg vial : ৳ 130.00
Axon,1 gm/3.5 ml,Ceftriaxone,Aristopharma Ltd.,1 gm vial : ৳ 200.00
Axon,250 mg/5 ml,Ceftriaxone,Aristopharma Ltd.,250 mg vial : ৳ 100.00
Axon,500 mg/5 ml,Ceftriaxone,Aristopharma Ltd.,500 mg vial : ৳ 130.00
Axon,1 gm/10 ml,Ceftriaxone,Aristopharma Ltd.,1 gm vial : ৳ 200.00
Axon,2 gm/20 ml,Ceftriaxone,Aristopharma Ltd.,2 gm vial : ৳ 300.00
Axosin,2 gm/10 ml,Ceftriaxone,Ibn-Sina Pharmaceuticals Ltd.,2 gm vial : ৳ 290.00
Axosin,250 mg/2 ml,Ceftriaxone,Ibn-Sina Pharmaceuticals Ltd.,250 mg vial : ৳ 90.00
Axosin,500 mg/2 ml,Ceftriaxone,Ibn-Sina Pharmaceuticals Ltd.,500 mg vial : ৳ 120.46
Axosin,1 gm/3.5 ml,Ceftriaxone,Ibn-Sina Pharmaceuticals Ltd.,1 gm vial : ৳ 180.00
Axosin,250 mg/5 ml,Ceftriaxone,Ibn-Sina Pharmaceuticals Ltd.,250 mg vial : ৳ 90.00
Axosin,500 mg/5 ml,Ceftriaxone,Ibn-Sina Pharmaceuticals Ltd.,500 mg vial : ৳ 120.46
Axosin,1 gm/10 ml,Ceftriaxone,Ibn-Sina Pharmaceuticals Ltd.,1 gm vial : ৳ 180.00
Axovit,,Vitamin B1| B6 & B12,Doctor TIMS Pharmaceuticals Ltd.,Price not available
Axsol,15 mg/5 ml,Ambroxol Hydrochloride,Nipa Pharmaceuticals Ltd.,100 ml bottle : ৳ 40.00
AZ,1%,Azithromycin,Aristopharma Ltd.,2.5 ml drop : ৳ 120.00
AZ,250 mg,Azithromycin,Aristopharma Ltd.,Unit Price : ৳ 25.00
AZ,500 mg,Azithromycin,Aristopharma Ltd.,Unit Price : ৳ 35.00
AZ,200 mg/5 ml,Azithromycin,Aristopharma Ltd.,15 ml bottle : ৳ 94.91
AZ,250 mg,Azithromycin,Aristopharma Ltd.,Unit Price : ৳ 25.00
AZ,500 mg,Azithromycin,Aristopharma Ltd.,Unit Price : ৳ 35.00
Azalid,250 mg,Azithromycin,Orion Pharma Limited,Unit Price : ৳ 23.30
Azalid,500 mg,Azithromycin,Orion Pharma Limited,Unit Price : ৳ 35.11
Azalid,200 mg/5 ml,Azithromycin,Orion Pharma Limited,15 ml bottle : ৳ 85.46
Azaltic,500 mg,Azithromycin,NIPRO JMI Pharma Ltd.,Unit Price : ৳ 35.00
Azaltic,200 mg/5 ml,Azithromycin,NIPRO JMI Pharma Ltd.,15 ml bottle : ৳ 85.00
Azapin,15 mg,Mirtazapine,Labaid Pharma Ltd.,Unit Price : ৳ 10.01
Azasite,500 mg,Azithromycin,Sharif Pharmaceuticals Ltd.,Unit Price : ৳ 29.99
Azasite,200 mg/5 ml,Azithromycin,Sharif Pharmaceuticals Ltd.,20 ml bottle : ৳ 96.96
Azbec,100 mcg/puff,Beclometasone Dipropionate (Inhaler),Eskayef Bangladesh Ltd.,200 metered doses : ৳ 269.98
Azbec,200 mcg/puff,Beclometasone Dipropionate (Inhaler),Eskayef Bangladesh Ltd.,200 metered doses : ৳ 320.00
Azebac,500 mg,Azithromycin,S.N. Pharmaceutical Ltd.,Unit Price : ৳ 30.00
Azecol,,Vitamin C| Vitamin E| Lutein| Copper & Zinc,Incepta Pharmaceuticals Limited,Unit Price : ৳ 10.00
Azee,200 mg/5 ml,Azithromycin,Guardian Healthcare Ltd,15 ml bottle : ৳ 85.00
Azee,500 mg,Azithromycin,Guardian Healthcare Ltd,Unit Price : ৳ 30.10
Azelast,137 mcg/spray,Azelastine Hydrochloride,Incepta Pharmaceuticals Limited,120 metered sprays : ৳ 179.85
Azelec,20%,Azelaic Acid,Acme Laboratories Limited,5 gm tube : ৳ 40.27
Azepam,5 mg,Diazepam,Acme Laboratories Limited,Unit Price : ৳ 0.69
Azexia,500 mg,Azithromycin,Pharmasia Limited,Unit Price : ৳ 34.00
Azexia,200 mg/5 ml,Azithromycin,Pharmasia Limited,20 ml bottle : ৳ 85.80
Azi S,500 mg,Azithromycin,Seema Pharmaceuticals Ltd.,Unit Price : ৳ 30.00
Azi S,200 mg/5 ml,Azithromycin,Seema Pharmaceuticals Ltd.,15 ml bottle : ৳ 100.00
Azicin,1%,Azithromycin,Opsonin Pharma Limited,2.5 ml drop : ৳ 119.96
Azicin,250 mg,Azithromycin,Opsonin Pharma Limited,Unit Price : ৳ 23.27
Azicin,500 mg,Azithromycin,Opsonin Pharma Limited,Unit Price : ৳ 33.24
Azicin,250 mg,Azithromycin,Opsonin Pharma Limited,Unit Price : ৳ 25.00
Azicin,500 mg,Azithromycin,Opsonin Pharma Limited,Unit Price : ৳ 35.11
Azicin,1 gm/Sachet,Azithromycin,Opsonin Pharma Limited,1 gm sachet : ৳ 79.97
Azicin,200 mg/5 ml,Azithromycin,Opsonin Pharma Limited,20 ml bottle : ৳ 99.99
Azicin,125 mg/1.25 ml,Azithromycin,Opsonin Pharma Limited,15 ml drop : ৳ 84.92
Azifine,500 mg,Azithromycin,Active Fine Chemicals Ltd.,Price not available
Aziget,200 mg/5 ml,Azithromycin,Get Well Limited,15 ml bottle : ৳ 85.00
Aziget,500 mg,Azithromycin,Get Well Limited,Unit Price : ৳ 34.00
Azikil,200 mg/5 ml,Azithromycin,One Pharma Limited,35 ml bottle : ৳ 140.00
Azikil,500 mg,Azithromycin,One Pharma Limited,Unit Price : ৳ 35.00
Azilab,500 mg,Azithromycin,Labaid Pharma Ltd.,Unit Price : ৳ 50.10
Azilab,200 mg/5 ml,Azithromycin,Labaid Pharma Ltd.,15 ml bottle : ৳ 115.00
Azilit,500 mg,Azithromycin,Desh Pharmaceuticals Ltd.,Unit Price : ৳ 35.00
Azilit,200 mg/5 ml,Azithromycin,Desh Pharmaceuticals Ltd.,15 ml bottle : ৳ 85.00
Azimete,500 mg,Azithromycin,Medimet Pharmaceuticals Ltd.,Unit Price : ৳ 30.00
Azimete,200 mg/5 ml,Azithromycin,Medimet Pharmaceuticals Ltd.,15 ml bottle : ৳ 85.00
Azimex,500 mg,Azithromycin,Drug International Limited,Unit Price : ৳ 25.00
Azimex,250 mg,Azithromycin,Drug International Limited,Unit Price : ৳ 24.57
Azimex,500 mg,Azithromycin,Drug International Limited,Unit Price : ৳ 35.02
Azimex,200 mg/5 ml,Azithromycin,Drug International Limited,15 ml bottle : ৳ 84.92
Azimon,500 mg,Azithromycin,Monicopharma Limited,Unit Price : ৳ 35.00
Azimon,200 mg/5 ml,Azithromycin,Monicopharma Limited,15 ml bottle : ৳ 90.00
Azin,500 mg,Azithromycin,Acme Laboratories Limited,Unit Price : ৳ 35.11
Azin,250 mg,Azithromycin,Acme Laboratories Limited,Unit Price : ৳ 25.08
Azin,200 mg/5 ml,Azithromycin,Acme Laboratories Limited,15 ml bottle : ৳ 95.29
Azinaaf,500 mg,Azithromycin,Naafco Pharma Ltd.,Unit Price : ৳ 33.00
Azinaaf,200 mg/5 ml,Azithromycin,Naafco Pharma Ltd.,30 ml bottle : ৳ 130.00
Azinaaf,250 mg,Azithromycin,Naafco Pharma Ltd.,Price not available
Azinil,250 mg,Azithromycin,Apex Pharmaceuticals Ltd.,Unit Price : ৳ 25.00
Azinil,500 mg,Azithromycin,Apex Pharmaceuticals Ltd.,Unit Price : ৳ 35.00
Azinil,200 mg/5 ml,Azithromycin,Apex Pharmaceuticals Ltd.,20 ml bottle : ৳ 85.00
Azirex,500 mg,Azithromycin,Belsen Pharmaceuticals Ltd.,Price not available
Azirox,500 mg,Azithromycin,Navana Pharmaceuticals Limited,Unit Price : ৳ 35.11
Azirox,200 mg/5 ml,Azithromycin,Navana Pharmaceuticals Limited,20 ml bottle : ৳ 100.00
Azisan,40 mg,Azilsartan Medoxomil,Renata Limited,Unit Price : ৳ 12.00
Azisan,80 mg,Azilsartan Medoxomil,Renata Limited,Unit Price : ৳ 22.00
Azitac,500 mg,Azithromycin,United Chemicals & Pharmaceuticals Ltd.,Unit Price : ৳ 30.24
Azitac,200 mg/5 ml,Azithromycin,United Chemicals & Pharmaceuticals Ltd.,15 ml bottle : ৳ 80.55
Azitel,500 mg,Azithromycin,Cosmic Pharma Limited,Unit Price : ৳ 35.00
Azitel,500 mg,Azithromycin,Cosmic Pharma Limited,Unit Price : ৳ 30.00
Azitel,200 mg/5 ml,Azithromycin,Cosmic Pharma Limited,15 ml bottle : ৳ 85.00
Azithin,500 mg,Azithromycin,Chemist Laboratories  Limited.,Unit Price : ৳ 30.00
Azithin,200 mg/5 ml,Azithromycin,Chemist Laboratories  Limited.,15 ml bottle : ৳ 85.00
Azithral,500 mg,Azithromycin,Globex Pharmaceuticals Ltd.,Unit Price : ৳ 30.00
Azithral,200 mg/5 ml,Azithromycin,Globex Pharmaceuticals Ltd.,15 ml bottle : ৳ 85.00
Azithro,500 mg,Azithromycin,Astra Biopharmaceuticals Ltd.,Unit Price : ৳ 35.00
Azithro,125 mg/5 ml,Azithromycin,Astra Biopharmaceuticals Ltd.,15 ml bottle : ৳ 85.00
Azithro,250 mg,Azithromycin,Astra Biopharmaceuticals Ltd.,Unit Price : ৳ 20.00
Azithro,250 mg,Azithromycin,Astra Biopharmaceuticals Ltd.,Unit Price : ৳ 20.00
Azithrocin,250 mg,Azithromycin,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 25.00
Azithrocin,500 mg,Azithromycin,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 35.00
Azithrocin,200 mg/5 ml,Azithromycin,Beximco Pharmaceuticals Ltd.,15 ml bottle : ৳ 85.00
Azithrocin,500 mg/250 ml,Azithromycin,Beximco Pharmaceuticals Ltd.,500 mg vial : ৳ 460.00
Azithrocin,250 mg,Azithromycin,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 25.00
Azithrogen,500 mg,Azithromycin,Biogene Pharma Ltd.,Unit Price : ৳ 30.00
Azithromax,500 mg,Azithromycin,Ziska Pharmaceuticals Limited,Unit Price : ৳ 35.00
Azithromax,200 mg/5 ml,Azithromycin,Ziska Pharmaceuticals Limited,15 ml bottle : ৳ 85.01
Azithromycin,200 mg/5 ml,Azithromycin,Essential Drugs Company Ltd.,15 ml bottle : ৳ 38.24
Azithromycin,500 mg,Azithromycin,Essential Drugs Company Ltd.,Unit Price : ৳ 18.28
Azithromycin,200 mg/5 ml,Azithromycin,Premier Pharmaceuticals Ltd.,30 ml bottle : ৳ 120.00
Azitol,500 mg,Azithromycin,Crystal Pharmaceuticals Ltd.,Price not available
Azitor,500 mg,Azithromycin,Central Pharmaceuticals Ltd (CPL),Unit Price : ৳ 30.00
Azitor,200 mg/5 ml,Azithromycin,Central Pharmaceuticals Ltd (CPL),35 ml bottle : ৳ 140.00
Azitra,500 mg,Azithromycin,MST Pharma,Price not available
Azitra,500 mg,Azithromycin,MST Pharma,Unit Price : ৳ 30.00
Azix,500 mg,Azithromycin,Amico Laboratories Ltd.,Unit Price : ৳ 30.00
Azix,200 mg/5 ml,Azithromycin,Amico Laboratories Ltd.,15 ml bottle : ৳ 85.00
Azmadil,2 mg/5 ml,Salbutamol (Oral/Injection),Unique Pharmaceuticals Ltd.,Price not available
Azmarel,2 mg,Salbutamol (Oral/Injection),Euro Pharma Ltd.,Unit Price : ৳ 0.26
Azmarel,4 mg,Salbutamol (Oral/Injection),Euro Pharma Ltd.,Unit Price : ৳ 0.34
Azmarel,2 mg/5 ml,Salbutamol (Oral/Injection),Euro Pharma Ltd.,100 ml bottle : ৳ 22.00
Azmasol,2 mg,Salbutamol (Oral/Injection),Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 0.25
Azmasol,4 mg,Salbutamol (Oral/Injection),Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 0.45
Azmasol,5 mg/ml,Salbutamol (Respirator Solution),Beximco Pharmaceuticals Ltd.,20 ml pack : ৳ 120.00
Azmasol (DPI),200 mcg/bexicap,Salbutamol (Inhalation Aerosol),Beximco Pharmaceuticals Ltd.,30 caps pack : ৳ 74.84
Azmasol (MDI),100 mcg/puff,Salbutamol (Inhalation Aerosol),Beximco Pharmaceuticals Ltd.,200 metered doses : ৳ 129.88
Azmasol (refill),100 mcg/puff,Salbutamol (Inhalation Aerosol),Beximco Pharmaceuticals Ltd.,200 metered doses : ৳ 109.90
Azmasol HFA (MDI),100 mcg/puff,Salbutamol (Inhalation Aerosol),Beximco Pharmaceuticals Ltd.,200 metered doses : ৳ 230.00
Azmasol HFA (refill),100 mcg/puff,Salbutamol (Inhalation Aerosol),Beximco Pharmaceuticals Ltd.,200 metered doses : ৳ 198.01
Azmet,2 mg/5 ml,Salbutamol (Oral/Injection),Medicon Pharmaceuticals Ltd.,60 ml bottle : ৳ 14.77
Azmin,500 mg,Azithromycin,Modern Pharmaceuticals Limited,Unit Price : ৳ 38.00
Azmin,200 mg/5 ml,Azithromycin,Modern Pharmaceuticals Limited,15 ml bottle : ৳ 85.00
Azo,500 mg,Azithromycin,Delta Pharma Limited,Unit Price : ৳ 29.96
Azo,200 mg/5 ml,Azithromycin,Delta Pharma Limited,15 ml bottle : ৳ 89.91
Azocil,500 mg,Azithromycin,Silco Pharmaceutical Ltd.,Unit Price : ৳ 32.00
Azocil,200 mg/5 ml,Azithromycin,Silco Pharmaceutical Ltd.,Price not available
Azocin,500 mg,Azithromycin,Standard Laboratories Limited,Price not available
Azocin,200 mg/5 ml,Azithromycin,Standard Laboratories Limited,Price not available
Azole,200 mg/5 ml,Albendazole,Biopharma Laboratories Ltd.,10 ml bottle : ৳ 18.00
Azole,400 mg,Albendazole,Biopharma Laboratories Ltd.,Unit Price : ৳ 4.02
Azolin,0.05%,Oxymetazoline Hydrochloride (Nasal),Acme Laboratories Limited,10 ml drop : ৳ 45.13
Azolin,0.025%,Oxymetazoline Hydrochloride (Nasal),Acme Laboratories Limited,10 ml drop : ৳ 40.11
Azomac,500 mg,Azithromycin,General Pharmaceuticals Ltd.,Unit Price : ৳ 35.00
Azomac,200 mg/5 ml,Azithromycin,General Pharmaceuticals Ltd.,15 ml bottle : ৳ 84.92
Azonam,1 gm/5 ml,Aztreonam,Incepta Pharmaceuticals Limited,1 gm vial : ৳ 400.00
Azonam,500 mg/5 ml,Aztreonam,Incepta Pharmaceuticals Limited,500 mg vial : ৳ 275.00
Azopres,1%,Brinzolamide,Ibn-Sina Pharmaceuticals Ltd.,5 ml drop : Price Unavailable
Azopt,2%+0.5%,Dorzolamide + Timolol,Ibn-Sina Pharmaceuticals Ltd.,5 ml drop : ৳ 550.00
Azovit Gold,,Multivitamin & Multimineral (A-Z gold preparation),Novo Healthcare and Pharma Ltd.,Unit Price : ৳ 6.00
Azro,500 mg,Azithromycin,Nipa Pharmaceuticals Ltd.,Unit Price : ৳ 30.00
Azro,200 mg/5 ml,Azithromycin,Nipa Pharmaceuticals Ltd.,15 ml bottle : ৳ 85.01
Aztacap,4 mg,Astaxanthin,Incepta Pharmaceuticals Limited,Unit Price : ৳ 22.00
Aztor,10 mg,Atorvastatin Calcium,Sun Pharmaceutical (Bangladesh) Limited,Unit Price : ৳ 10.09
Aztor,40 mg,Atorvastatin Calcium,Sun Pharmaceutical (Bangladesh) Limited,Unit Price : ৳ 24.08
Aztor,20 mg,Atorvastatin Calcium,Sun Pharmaceutical (Bangladesh) Limited,Unit Price : ৳ 18.16
Aztrum A-Z,,Multivitamin & Multimineral,Legends Pharma,Unit Price : ৳ 7.00
Aztrum Gold,,Multivitamin & Multimineral (A-Z gold preparation),Apex Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
Aztrum Kidz,,Multivitamin & Multimineral (A-Z syrup preparation),Apex Pharmaceuticals Ltd.,100 ml bottle : ৳ 85.00
Aztrum Silver,,Multivitamin & Multimineral (A-Z silver preparation),Apex Pharmaceuticals Ltd.,Unit Price : ৳ 5.50
Aztrum-I,,Vitamin C| Vitamin E| Lutein| Copper & Zinc,Apex Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
Azyth,250 mg,Azithromycin,SANDOZ (A Novartis Division),Unit Price : ৳ 30.00
Azyth,500 mg,Azithromycin,SANDOZ (A Novartis Division),Unit Price : ৳ 55.50
Azyth,200 mg/5 ml,Azithromycin,SANDOZ (A Novartis Division),15 ml bottle : ৳ 116.00
B 3,,Vitamin B1| B6 & B12,Bristol Pharmaceuticals Ltd.,Unit Price : ৳ 4.00
B Mycin,(5 mg+500 IU)/gm,Neomycin Sulfate + Bacitracin Zinc,Gaco Pharmaceuticals Ltd.,5 gm tube : ৳ 17.36
B Mycin,(5 mg+250 IU)/gm,Neomycin Sulfate + Bacitracin Zinc,Gaco Pharmaceuticals Ltd.,5 gm bottle : ৳ 10.03
B Six,25 mg,Pyridoxine Hydrochloride,Peoples Pharma Ltd.,Price not available
B-50 Forte,,Vitamin B complex,Square Pharmaceuticals Ltd.,Unit Price : ৳ 1.25
B-50 Forte,,Vitamin B complex,Square Pharmaceuticals Ltd.,Unit Price : ৳ 10.03
B-50 Forte,,Vitamin B complex,Square Pharmaceuticals Ltd.,200 ml bottle : ৳ 62.19
B-Card,50 mg,Atenolol,Nipa Pharmaceuticals Ltd.,Unit Price : ৳ 0.77
B-Cef,10 mg,Cetirizine Dihydrochloride,Belsen Pharmaceuticals Ltd.,Unit Price : ৳ 2.50
B-Cef,5 mg/5 ml,Cetirizine Dihydrochloride,Belsen Pharmaceuticals Ltd.,60 ml bottle : ৳ 20.00
B-Cort,0.1%,Betamethasone,Globe Pharmaceuticals Limited.,5 ml drop : ৳ 30.00
B-Dexa,0.5 mg,Dexamethasone Sodium Phosphate,Belsen Pharmaceuticals Ltd.,Unit Price : ৳ 0.50
B-Mycin,(5 mg+500 IU)/gm,Neomycin Sulfate + Bacitracin Zinc,Gaco Pharmaceuticals Ltd.,10 gm tube : ৳ 17.30
B-Mycin,(5 mg+250 IU)/gm,Neomycin Sulfate + Bacitracin Zinc,Gaco Pharmaceuticals Ltd.,5 gm pack : ৳ 10.00
B-One,100 mg,Thiamine Hydrochloride,Alco Pharma Limited,Unit Price : ৳ 0.73
B-Plex,,Vitamin B complex,Ad-din pharmaceuticals Ltd.,Unit Price : ৳ 0.46
B-Plex,,Vitamin B complex,Ad-din pharmaceuticals Ltd.,100 ml bottle : ৳ 20.84
B-Plus,,Vitamin B complex,Somatec Pharmaceuticals Ltd.,200 ml bottle : ৳ 62.18
B-Prolol,2.5 mg,Bisoprolol Fumarate,Sharif Pharmaceuticals Ltd.,Unit Price : ৳ 6.01
B-Prolol,5 mg,Bisoprolol Fumarate,Sharif Pharmaceuticals Ltd.,Unit Price : ৳ 9.99
B-Sol,,Balanced Salt Solution,Popular Pharmaceuticals Ltd.,500 ml bottle : ৳ 250.00
B-VIT 4,,Vitamin B complex,Cosmic Pharma Limited,Unit Price : ৳ 0.46
B-VIT 4,,Vitamin B complex,Cosmic Pharma Limited,200 ml bottle : ৳ 38.00
B-Vitacom,,Vitamin B1| B6 & B12,Marksman Pharmaceuticals Ltd.,Price not available
B-Zn,10 mg/5 ml,Zinc Sulphate Monohydrate,Benham Pharmaceuticals Ltd.,100 ml bottle : ৳ 35.00
B126,,Vitamin B1| B6 & B12,Popular Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
Babiz,,Vitamin B Complex + Zinc,Rangs Pharmaceuticals Ltd.,100 ml bottle : ৳ 44.95
Baby saline,0.225% + 10%,Sodium Chloride + Dextrose,Libra Infusions Ltd.,250 ml bag : ৳ 55.04
Baby saline,0.225% + 5%,Sodium Chloride + Dextrose,Libra Infusions Ltd.,250 ml bag : ৳ 55.04
Baby Zinc,20 mg,Zinc Sulphate Monohydrate,Acme Laboratories Limited,Unit Price : ৳ 1.76
Babykion,2 mg/ 0.2 ml,Phytomenadione (Vitamin K-1),Chemist Laboratories  Limited.,2 mg ampoule : ৳ 20.00
Babyvit,,Multivitamin & Cod Liver Oil,Rephco Pharmaceuticals Ltd.,100 ml bottle : ৳ 80.00
Bacaid,5 mg,Baclofen,Labaid Pharma Ltd.,Unit Price : ৳ 4.50
Bacaid,10 mg,Baclofen,Labaid Pharma Ltd.,Unit Price : ৳ 8.27
Bacben,10 mg,Baclofen,Benham Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
Bacifen,10 mg,Baclofen,Biopharma Laboratories Ltd.,Unit Price : ৳ 8.00
Bacilex,200 mg,Pivmecillinam,Pharmadesh Laboratories Ltd.,Unit Price : ৳ 18.00
Backtone,5 mg,Baclofen,Pharmacil Limited,Price not available
Backtone,10 mg,Baclofen,Pharmacil Limited,Price not available
Backtone,25 mg,Baclofen,Pharmacil Limited,Price not available
Baclex,10 mg,Baclofen,Silco Pharmaceutical Ltd.,Unit Price : ৳ 8.00
Baclium,10 mg,Baclofen,Virgo Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
Baclobac,5 mg,Baclofen,Pharmasia Limited,Unit Price : ৳ 4.52
Baclobac,10 mg,Baclofen,Pharmasia Limited,Unit Price : ৳ 8.03
Baclodol,10 mg,Baclofen,Astra Biopharmaceuticals Ltd.,Unit Price : ৳ 8.00
Baclofen,10 mg,Baclofen,Apex Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
Baclofen,10 mg,Baclofen,Amico Laboratories Ltd.,Unit Price : ৳ 6.00
Bacloflex,10 mg,Baclofen,Somatec Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
Baclomark,10 mg,Baclofen,Hallmark Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
Baclomax,10 mg,Baclofen,Veritas Pharmaceuticals Ltd.,Price not available
Baclon,5 mg,Baclofen,Orion Pharma Limited,Unit Price : ৳ 4.54
Baclon,10 mg,Baclofen,Orion Pharma Limited,Unit Price : ৳ 8.06
Bacmax,5 mg,Baclofen,Drug International Limited,Unit Price : ৳ 3.96
Bacmax,10 mg,Baclofen,Drug International Limited,Unit Price : ৳ 7.88
Bacnil,500 mg,Levofloxacin (Oral),Rephco Pharmaceuticals Ltd.,Unit Price : ৳ 15.00
Bacofen,5 mg,Baclofen,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 4.50
Bacofen,10 mg,Baclofen,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
Bacron,2% w/w,Mupirocin,Biopharma Laboratories Ltd.,10 gm tube : ৳ 124.89
Bacron,2% w/w,Mupirocin,Biopharma Laboratories Ltd.,10 gm tube : ৳ 124.89
Bactab,10 mg,Baclofen,Rangs Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
Bactacin,800 mg+160 mg,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Aristopharma Ltd.,Unit Price : ৳ 1.73
Bactacin,(200 mg+40 mg)/5 ml,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Aristopharma Ltd.,60 ml bottle : ৳ 20.96
Bactamox,250 mg,Amoxicillin Trihydrate,Renata Limited,Unit Price : ৳ 3.40
Bactamox,500 mg,Amoxicillin Trihydrate,Renata Limited,Unit Price : ৳ 5.85
Bactamox,125 mg/5 ml,Amoxicillin Trihydrate,Renata Limited,100 ml bottle : ৳ 45.80
Bactamox,125 mg/1.25 ml,Amoxicillin Trihydrate,Renata Limited,15 ml drop : ৳ 28.32
Bactamox,250 mg/vial,Amoxicillin Trihydrate,Renata Limited,250 mg vial : ৳ 18.09
Bactamox,500 mg/vial,Amoxicillin Trihydrate,Renata Limited,500 mg vial : ৳ 25.60
Bactazim,200 mg,Cefixime Trihydrate,Silco Pharmaceutical Ltd.,Unit Price : ৳ 32.00
Bactazim,100 mg/5 ml,Cefixime Trihydrate,Silco Pharmaceutical Ltd.,50 ml bottle : ৳ 190.00
Bactazol,800 mg+160 mg,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Sonear Laboratories Ltd.,Price not available
Bactazol,400 mg+80 mg,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Sonear Laboratories Ltd.,Price not available
Bactazol,(200 mg+40 mg)/5 ml,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Sonear Laboratories Ltd.,Price not available
Bacticell,125 mg/5 ml,Cephradine,Goodman Pharmaceuticals Ltd.,Price not available
Bacticell,500 mg,Cephradine,Goodman Pharmaceuticals Ltd.,Price not available
Bactikil,250 mg,Cefuroxime Axetil,Edruc Ltd.,Unit Price : ৳ 25.00
Bactikil,500 mg,Cefuroxime Axetil,Edruc Ltd.,Unit Price : ৳ 45.00
Bactikil,125 mg/5 ml,Cefuroxime Axetil,Edruc Ltd.,70 ml bottle : ৳ 198.00
Bactin,0.3%,Ciprofloxacin (Eye/Ear),Ibn-Sina Pharmaceuticals Ltd.,5 ml drop : ৳ 35.13
Bactin,0.3%,Ciprofloxacin (Eye/Ear),Ibn-Sina Pharmaceuticals Ltd.,3 gm tube : ৳ 35.00
